guest,hotel,priority
guest_1001,hotel_330,17
guest_1001,hotel_337,18
guest_1001,hotel_246,19
guest_1001,hotel_85,20
guest_1001,hotel_296,21
guest_1001,hotel_266,22
guest_1001,hotel_91,23
guest_1001,hotel_344,24
guest_1001,hotel_303,25
guest_1001,hotel_245,26
guest_1001,hotel_115,27
guest_1001,hotel_215,28
guest_1001,hotel_331,29
guest_1001,hotel_139,30
guest_1001,hotel_159,31
guest_1001,hotel_48,32
guest_1001,hotel_295,33
guest_1001,hotel_123,34
guest_1001,hotel_195,35
guest_1001,hotel_196,36
guest_1001,hotel_42,37
guest_1001,hotel_25,38
guest_1001,hotel_126,39
guest_1001,hotel_272,40
guest_1001,hotel_140,41
guest_1002,hotel_88,1
guest_1002,hotel_219,2
guest_1002,hotel_34,3
guest_1002,hotel_141,4
guest_1002,hotel_362,5
guest_1002,hotel_177,6
guest_1002,hotel_91,7
guest_1002,hotel_55,8
guest_1002,hotel_215,9
guest_1002,hotel_199,10
guest_1002,hotel_209,11
guest_1002,hotel_139,12
guest_1002,hotel_185,13
guest_1002,hotel_107,14
guest_1002,hotel_312,15
guest_1002,hotel_170,16
guest_1002,hotel_82,17
guest_1003,hotel_35,1
guest_1003,hotel_87,2
guest_1003,hotel_113,3
guest_1003,hotel_128,4
guest_1003,hotel_58,5
guest_1003,hotel_284,6
guest_1003,hotel_382,7
guest_1003,hotel_32,8
guest_1004,hotel_9,1
guest_1004,hotel_152,2
guest_1004,hotel_74,3
guest_1004,hotel_30,4
guest_1004,hotel_94,5
guest_1004,hotel_168,6
guest_1004,hotel_201,7
guest_1004,hotel_263,8
guest_1004,hotel_236,9
guest_1004,hotel_339,10
guest_1004,hotel_205,11
guest_1004,hotel_357,12
guest_1004,hotel_248,13
guest_1004,hotel_384,14
guest_1004,hotel_78,15
guest_1005,hotel_330,1
guest_1005,hotel_243,2
guest_1005,hotel_382,3
guest_1005,hotel_252,4
guest_1005,hotel_74,5
guest_1005,hotel_8,6
guest_1005,hotel_162,7
guest_1005,hotel_340,8
guest_1005,hotel_102,9
guest_1005,hotel_197,10
guest_1005,hotel_64,11
guest_1005,hotel_333,12
guest_1005,hotel_7,13
guest_1005,hotel_323,14
guest_1005,hotel_60,15
guest_1005,hotel_339,16
guest_1005,hotel_312,17
guest_1005,hotel_311,18
guest_1005,hotel_209,19
guest_1005,hotel_335,20
guest_1005,hotel_283,21
guest_1005,hotel_166,22
guest_1005,hotel_207,23
guest_1005,hotel_182,24
guest_1005,hotel_131,25
guest_1005,hotel_124,26
guest_1005,hotel_115,27
guest_1005,hotel_352,28
guest_1005,hotel_33,29
guest_1005,hotel_279,30
guest_1005,hotel_106,31
guest_1005,hotel_55,32
guest_1005,hotel_301,33
guest_1006,hotel_64,1
guest_1006,hotel_381,2
guest_1006,hotel_287,3
guest_1006,hotel_52,4
guest_1006,hotel_71,5
guest_1006,hotel_352,6
guest_1006,hotel_25,7
guest_1006,hotel_42,8
guest_1006,hotel_11,9
guest_1006,hotel_342,10
guest_1007,hotel_396,1
guest_1007,hotel_222,2
guest_1007,hotel_217,3
guest_1007,hotel_76,4
guest_1007,hotel_1,5
guest_1007,hotel_185,6
guest_1007,hotel_321,7
guest_1007,hotel_32,8
guest_1007,hotel_17,9
guest_1007,hotel_324,10
guest_1007,hotel_43,11
guest_1007,hotel_272,12
guest_1007,hotel_89,13
guest_1007,hotel_213,14
guest_1007,hotel_172,15
guest_1007,hotel_228,16
guest_1007,hotel_79,17
guest_1007,hotel_291,18
guest_1007,hotel_386,19
guest_1007,hotel_335,20
guest_1007,hotel_36,21
guest_1007,hotel_285,22
guest_1007,hotel_127,23
guest_1007,hotel_389,24
guest_1007,hotel_62,25
guest_1007,hotel_140,26
guest_1007,hotel_111,27
guest_1007,hotel_376,28
guest_1007,hotel_190,29
guest_1007,hotel_208,30
guest_1007,hotel_192,31
guest_1007,hotel_156,32
guest_1007,hotel_30,33
guest_1007,hotel_199,34
guest_1007,hotel_201,35
guest_1007,hotel_150,36
guest_1007,hotel_174,37
guest_1007,hotel_108,38
guest_1007,hotel_3,39
guest_1007,hotel_398,40
guest_1007,hotel_52,41
guest_1007,hotel_189,42
guest_1008,hotel_296,1
guest_1008,hotel_238,2
guest_1008,hotel_77,3
guest_1008,hotel_331,4
guest_1008,hotel_2,5
guest_1008,hotel_325,6
guest_1008,hotel_291,7
guest_1008,hotel_351,8
guest_1008,hotel_355,9
guest_1008,hotel_378,10
guest_1008,hotel_162,11
guest_1008,hotel_362,12
guest_1008,hotel_295,13
guest_1008,hotel_115,14
guest_1008,hotel_19,15
guest_1009,hotel_31,1
guest_1009,hotel_55,2
guest_1009,hotel_257,3
guest_1009,hotel_328,4
guest_1009,hotel_343,5
guest_1009,hotel_200,6
guest_1009,hotel_330,7
guest_1009,hotel_21,8
guest_1009,hotel_121,9
guest_1009,hotel_30,10
guest_1009,hotel_370,11
guest_1009,hotel_168,12
guest_1009,hotel_196,13
guest_1009,hotel_297,14
guest_1009,hotel_174,15
guest_1009,hotel_396,16
guest_101,hotel_379,1
guest_101,hotel_109,2
guest_101,hotel_137,3
guest_101,hotel_146,4
guest_101,hotel_282,5
guest_101,hotel_43,6
guest_101,hotel_314,7
guest_101,hotel_78,8
guest_101,hotel_27,9
guest_101,hotel_392,10
guest_101,hotel_281,11
guest_101,hotel_372,12
guest_101,hotel_25,13
guest_101,hotel_47,14
guest_101,hotel_195,15
guest_101,hotel_232,16
guest_101,hotel_6,17
guest_101,hotel_264,18
guest_101,hotel_294,19
guest_101,hotel_179,20
guest_101,hotel_299,21
guest_101,hotel_380,22
guest_101,hotel_131,23
guest_101,hotel_222,24
guest_101,hotel_313,25
guest_101,hotel_59,26
guest_101,hotel_322,27
guest_101,hotel_34,28
guest_101,hotel_307,29
guest_101,hotel_2,30
guest_101,hotel_243,31
guest_101,hotel_242,32
guest_101,hotel_41,33
guest_101,hotel_239,34
guest_101,hotel_8,35
guest_101,hotel_400,36
guest_101,hotel_297,37
guest_101,hotel_64,38
guest_101,hotel_50,39
guest_1010,hotel_250,1
guest_1010,hotel_112,2
guest_1010,hotel_104,3
guest_1010,hotel_189,4
guest_1010,hotel_113,5
guest_1010,hotel_306,6
guest_1010,hotel_270,7
guest_1010,hotel_249,8
guest_1010,hotel_73,9
guest_1010,hotel_214,10
guest_1010,hotel_316,11
guest_1010,hotel_320,12
guest_1010,hotel_260,13
guest_1010,hotel_248,14
guest_1010,hotel_148,15
guest_1010,hotel_362,16
guest_1010,hotel_139,17
guest_1010,hotel_374,18
guest_1010,hotel_2,19
guest_1010,hotel_287,20
guest_1010,hotel_59,21
guest_1010,hotel_355,22
guest_1010,hotel_83,23
guest_1010,hotel_215,24
guest_1010,hotel_283,25
guest_1011,hotel_204,1
guest_1011,hotel_132,2
guest_1011,hotel_69,3
guest_1011,hotel_154,4
guest_1011,hotel_336,5
guest_1011,hotel_325,6
guest_1011,hotel_240,7
guest_1011,hotel_328,8
guest_1011,hotel_158,9
guest_1011,hotel_98,10
guest_1011,hotel_169,11
guest_1011,hotel_54,12
guest_1011,hotel_233,13
guest_1011,hotel_4,14
guest_1011,hotel_141,15
guest_1011,hotel_196,16
guest_1011,hotel_126,17
guest_1011,hotel_109,18
guest_1011,hotel_394,19
guest_1011,hotel_188,20
guest_1011,hotel_148,21
guest_1011,hotel_221,22
guest_1011,hotel_350,23
guest_1012,hotel_236,1
guest_1012,hotel_40,2
guest_1012,hotel_123,3
guest_1012,hotel_169,4
guest_1012,hotel_369,5
guest_1012,hotel_331,6
guest_1012,hotel_63,7
guest_1012,hotel_340,8
guest_1012,hotel_17,9
guest_1012,hotel_225,10
guest_1012,hotel_21,11
guest_1012,hotel_188,12
guest_1012,hotel_338,13
guest_1012,hotel_133,14
guest_1012,hotel_78,15
guest_1012,hotel_235,16
guest_1012,hotel_394,17
guest_1012,hotel_281,18
guest_1012,hotel_39,19
guest_1012,hotel_337,20
guest_1012,hotel_6,21
guest_1012,hotel_248,22
guest_1012,hotel_269,23
guest_1012,hotel_86,24
guest_1012,hotel_264,25
guest_1012,hotel_23,26
guest_1012,hotel_263,27
guest_1012,hotel_67,28
guest_1012,hotel_76,29
guest_1012,hotel_112,30
guest_1012,hotel_238,31
guest_1012,hotel_260,32
guest_1012,hotel_257,33
guest_1013,hotel_378,1
guest_1013,hotel_178,2
guest_1013,hotel_233,3
guest_1013,hotel_105,4
guest_1013,hotel_33,5
guest_1013,hotel_192,6
guest_1013,hotel_155,7
guest_1013,hotel_183,8
guest_1013,hotel_282,9
guest_1013,hotel_34,10
guest_1013,hotel_44,11
guest_1013,hotel_371,12
guest_1013,hotel_251,13
guest_1013,hotel_362,14
guest_1013,hotel_368,15
guest_1013,hotel_172,16
guest_1013,hotel_60,17
guest_1013,hotel_364,18
guest_1013,hotel_377,19
guest_1014,hotel_80,1
guest_1014,hotel_309,2
guest_1014,hotel_109,3
guest_1014,hotel_333,4
guest_1014,hotel_38,5
guest_1014,hotel_291,6
guest_1014,hotel_215,7
guest_1014,hotel_270,8
guest_1014,hotel_346,9
guest_1014,hotel_156,10
guest_1014,hotel_62,11
guest_1014,hotel_263,12
guest_1014,hotel_85,13
guest_1015,hotel_275,1
guest_1015,hotel_155,2
guest_1015,hotel_177,3
guest_1015,hotel_291,4
guest_1015,hotel_8,5
guest_1015,hotel_199,6
guest_1015,hotel_163,7
guest_1015,hotel_309,8
guest_1015,hotel_33,9
guest_1015,hotel_185,10
guest_1015,hotel_375,11
guest_1015,hotel_281,12
guest_1015,hotel_395,13
guest_1015,hotel_324,14
guest_1015,hotel_18,15
guest_1015,hotel_254,16
guest_1015,hotel_48,17
guest_1015,hotel_118,18
guest_1015,hotel_97,19
guest_1015,hotel_19,20
guest_1015,hotel_4,21
guest_1015,hotel_162,22
guest_1015,hotel_149,23
guest_1015,hotel_186,24
guest_1015,hotel_87,25
guest_1015,hotel_389,26
guest_1015,hotel_222,27
guest_1015,hotel_65,28
guest_1016,hotel_258,1
guest_1016,hotel_98,2
guest_1016,hotel_69,3
guest_1016,hotel_79,4
guest_1016,hotel_118,5
guest_1016,hotel_219,6
guest_1016,hotel_60,7
guest_1016,hotel_311,8
guest_1016,hotel_354,9
guest_1016,hotel_376,10
guest_1016,hotel_171,11
guest_1016,hotel_308,12
guest_1016,hotel_15,13
guest_1016,hotel_332,14
guest_1016,hotel_246,15
guest_1016,hotel_222,16
guest_1016,hotel_319,17
guest_1017,hotel_198,1
guest_1017,hotel_298,2
guest_1017,hotel_184,3
guest_1017,hotel_171,4
guest_1017,hotel_260,5
guest_1017,hotel_100,6
guest_1017,hotel_70,7
guest_1017,hotel_262,8
guest_1017,hotel_371,9
guest_1017,hotel_384,10
guest_1017,hotel_271,11
guest_1017,hotel_125,12
guest_1017,hotel_1,13
guest_1017,hotel_16,14
guest_1017,hotel_186,15
guest_1017,hotel_12,16
guest_1017,hotel_11,17
guest_1017,hotel_94,18
guest_1017,hotel_327,19
guest_1017,hotel_385,20
guest_1018,hotel_216,1
guest_1018,hotel_21,2
guest_1018,hotel_296,3
guest_1018,hotel_145,4
guest_1018,hotel_113,5
guest_1019,hotel_308,1
guest_1019,hotel_383,2
guest_1019,hotel_359,3
guest_1019,hotel_194,4
guest_1019,hotel_213,5
guest_1019,hotel_212,6
guest_1019,hotel_48,7
guest_1019,hotel_110,8
guest_1019,hotel_284,9
guest_1019,hotel_74,10
guest_1019,hotel_245,11
guest_1019,hotel_354,12
guest_1019,hotel_102,13
guest_1019,hotel_199,14
guest_1019,hotel_113,15
guest_1019,hotel_335,16
guest_1019,hotel_246,17
guest_1019,hotel_91,18
guest_1019,hotel_126,19
guest_1019,hotel_3,20
guest_1019,hotel_9,21
guest_1019,hotel_321,22
guest_1019,hotel_239,23
guest_1019,hotel_391,24
guest_1019,hotel_364,25
guest_1019,hotel_47,26
guest_1019,hotel_369,27
guest_1019,hotel_316,28
guest_1019,hotel_306,29
guest_1019,hotel_35,30
guest_1019,hotel_175,31
guest_1019,hotel_282,32
guest_1019,hotel_27,33
guest_1019,hotel_25,34
guest_102,hotel_3,1
guest_102,hotel_72,2
guest_102,hotel_37,3
guest_102,hotel_338,4
guest_102,hotel_119,5
guest_102,hotel_74,6
guest_102,hotel_62,7
guest_1020,hotel_222,1
guest_1020,hotel_10,2
guest_1020,hotel_266,3
guest_1020,hotel_110,4
guest_1020,hotel_172,5
guest_1020,hotel_338,6
guest_1020,hotel_292,7
guest_1020,hotel_39,8
guest_1020,hotel_142,9
guest_1020,hotel_291,10
guest_1020,hotel_114,11
guest_1020,hotel_99,12
guest_1020,hotel_361,13
guest_1020,hotel_57,14
guest_1020,hotel_217,15
guest_1020,hotel_191,16
guest_1020,hotel_332,17
guest_1020,hotel_90,18
guest_1020,hotel_113,19
guest_1020,hotel_95,20
guest_1020,hotel_48,21
guest_1020,hotel_285,22
guest_1020,hotel_32,23
guest_1020,hotel_228,24
guest_1020,hotel_238,25
guest_1020,hotel_373,26
guest_1020,hotel_133,27
guest_1020,hotel_297,28
guest_1020,hotel_161,29
guest_1020,hotel_50,30
guest_1020,hotel_288,31
guest_1020,hotel_363,32
guest_1020,hotel_251,33
guest_1020,hotel_27,34
guest_1020,hotel_5,35
guest_1020,hotel_257,36
guest_1020,hotel_145,37
guest_1020,hotel_342,38
guest_1020,hotel_103,39
guest_1020,hotel_96,40
guest_1020,hotel_393,41
guest_1020,hotel_208,42
guest_1021,hotel_319,1
guest_1021,hotel_310,2
guest_1021,hotel_107,3
guest_1022,hotel_37,1
guest_1022,hotel_51,2
guest_1022,hotel_349,3
guest_1022,hotel_84,4
guest_1022,hotel_330,5
guest_1022,hotel_324,6
guest_1022,hotel_355,7
guest_1022,hotel_371,8
guest_1022,hotel_114,9
guest_1022,hotel_386,10
guest_1022,hotel_193,11
guest_1022,hotel_106,12
guest_1023,hotel_57,1
guest_1023,hotel_221,2
guest_1023,hotel_52,3
guest_1023,hotel_352,4
guest_1023,hotel_212,5
guest_1023,hotel_400,6
guest_1023,hotel_46,7
guest_1023,hotel_20,8
guest_1023,hotel_26,9
guest_1023,hotel_217,10
guest_1023,hotel_251,11
guest_1023,hotel_363,12
guest_1023,hotel_110,13
guest_1023,hotel_279,14
guest_1023,hotel_95,15
guest_1023,hotel_73,16
guest_1023,hotel_228,17
guest_1023,hotel_259,18
guest_1023,hotel_314,19
guest_1024,hotel_17,1
guest_1024,hotel_62,2
guest_1024,hotel_376,3
guest_1024,hotel_261,4
guest_1024,hotel_80,5
guest_1024,hotel_297,6
guest_1024,hotel_98,7
guest_1024,hotel_169,8
guest_1024,hotel_364,9
guest_1024,hotel_181,10
guest_1024,hotel_323,11
guest_1025,hotel_257,1
guest_1025,hotel_232,2
guest_1025,hotel_296,3
guest_1025,hotel_398,4
guest_1025,hotel_127,5
guest_1025,hotel_309,6
guest_1025,hotel_318,7
guest_1025,hotel_182,8
guest_1025,hotel_110,9
guest_1025,hotel_304,10
guest_1025,hotel_134,11
guest_1025,hotel_45,12
guest_1025,hotel_214,13
guest_1025,hotel_69,14
guest_1025,hotel_71,15
guest_1025,hotel_162,16
guest_1025,hotel_247,17
guest_1025,hotel_210,18
guest_1025,hotel_76,19
guest_1025,hotel_395,20
guest_1025,hotel_10,21
guest_1025,hotel_94,22
guest_1025,hotel_390,23
guest_1025,hotel_249,24
guest_1025,hotel_302,25
guest_1025,hotel_245,26
guest_1025,hotel_205,27
guest_1025,hotel_165,28
guest_1025,hotel_226,29
guest_1025,hotel_108,30
guest_1025,hotel_386,31
guest_1025,hotel_238,32
guest_1025,hotel_169,33
guest_1025,hotel_204,34
guest_1025,hotel_298,35
guest_1025,hotel_200,36
guest_1025,hotel_266,37
guest_1025,hotel_394,38
guest_1025,hotel_241,39
guest_1025,hotel_131,40
guest_1026,hotel_396,1
guest_1026,hotel_206,2
guest_1026,hotel_276,3
guest_1026,hotel_358,4
guest_1026,hotel_319,5
guest_1026,hotel_179,6
guest_1026,hotel_131,7
guest_1026,hotel_12,8
guest_1026,hotel_105,9
guest_1026,hotel_280,10
guest_1026,hotel_185,11
guest_1026,hotel_350,12
guest_1026,hotel_222,13
guest_1026,hotel_241,14
guest_1026,hotel_8,15
guest_1026,hotel_68,16
guest_1026,hotel_84,17
guest_1026,hotel_123,18
guest_1026,hotel_225,19
guest_1026,hotel_298,20
guest_1026,hotel_155,21
guest_1026,hotel_224,22
guest_1026,hotel_227,23
guest_1026,hotel_223,24
guest_1026,hotel_290,25
guest_1026,hotel_166,26
guest_1026,hotel_254,27
guest_1026,hotel_307,28
guest_1026,hotel_228,29
guest_1026,hotel_291,30
guest_1026,hotel_364,31
guest_1026,hotel_381,32
guest_1026,hotel_67,33
guest_1026,hotel_243,34
guest_1026,hotel_158,35
guest_1026,hotel_287,36
guest_1026,hotel_334,37
guest_1026,hotel_362,38
guest_1026,hotel_110,39
guest_1027,hotel_320,1
guest_1027,hotel_275,2
guest_1027,hotel_273,3
guest_1027,hotel_384,4
guest_1027,hotel_71,5
guest_1027,hotel_179,6
guest_1027,hotel_310,7
guest_1027,hotel_174,8
guest_1027,hotel_345,9
guest_1027,hotel_224,10
guest_1027,hotel_90,11
guest_1027,hotel_343,12
guest_1027,hotel_241,13
guest_1027,hotel_10,14
guest_1027,hotel_53,15
guest_1027,hotel_216,16
guest_1027,hotel_160,17
guest_1027,hotel_294,18
guest_1027,hotel_254,19
guest_1027,hotel_257,20
guest_1027,hotel_206,21
guest_1027,hotel_213,22
guest_1027,hotel_63,23
guest_1027,hotel_228,24
guest_1027,hotel_155,25
guest_1027,hotel_318,26
guest_1027,hotel_62,27
guest_1027,hotel_94,28
guest_1027,hotel_55,29
guest_1027,hotel_270,30
guest_1027,hotel_208,31
guest_1027,hotel_234,32
guest_1027,hotel_156,33
guest_1027,hotel_115,34
guest_1027,hotel_266,35
guest_1027,hotel_65,36
guest_1027,hotel_336,37
guest_1027,hotel_263,38
guest_1027,hotel_282,39
guest_1027,hotel_82,40
guest_1027,hotel_356,41
guest_1027,hotel_315,42
guest_1027,hotel_157,43
guest_1028,hotel_28,1
guest_1028,hotel_115,2
guest_1028,hotel_252,3
guest_1028,hotel_226,4
guest_1028,hotel_36,5
guest_1028,hotel_276,6
guest_1028,hotel_240,7
guest_1028,hotel_337,8
guest_1029,hotel_281,1
guest_1029,hotel_333,2
guest_1029,hotel_112,3
guest_1029,hotel_225,4
guest_1029,hotel_185,5
guest_1029,hotel_85,6
guest_1029,hotel_214,7
guest_1029,hotel_253,8
guest_1029,hotel_289,9
guest_1029,hotel_200,10
guest_1029,hotel_290,11
guest_1029,hotel_203,12
guest_1029,hotel_370,13
guest_1029,hotel_376,14
guest_1029,hotel_261,15
guest_1029,hotel_338,16
guest_1029,hotel_139,17
guest_1029,hotel_149,18
guest_1029,hotel_170,19
guest_1029,hotel_210,20
guest_1029,hotel_392,21
guest_1029,hotel_153,22
guest_1029,hotel_158,23
guest_1029,hotel_104,24
guest_1029,hotel_195,25
guest_1029,hotel_11,26
guest_103,hotel_361,1
guest_103,hotel_164,2
guest_103,hotel_143,3
guest_103,hotel_263,4
guest_103,hotel_383,5
guest_103,hotel_399,6
guest_103,hotel_310,7
guest_103,hotel_194,8
guest_103,hotel_320,9
guest_103,hotel_81,10
guest_103,hotel_386,11
guest_103,hotel_111,12
guest_103,hotel_129,13
guest_103,hotel_262,14
guest_103,hotel_252,15
guest_103,hotel_27,16
guest_103,hotel_48,17
guest_103,hotel_96,18
guest_1030,hotel_239,1
guest_1030,hotel_278,2
guest_1031,hotel_276,1
guest_1031,hotel_357,2
guest_1031,hotel_192,3
guest_1031,hotel_149,4
guest_1031,hotel_362,5
guest_1031,hotel_2,6
guest_1031,hotel_101,7
guest_1031,hotel_107,8
guest_1031,hotel_89,9
guest_1031,hotel_385,10
guest_1031,hotel_279,11
guest_1031,hotel_236,12
guest_1031,hotel_332,13
guest_1031,hotel_228,14
guest_1031,hotel_202,15
guest_1031,hotel_135,16
guest_1031,hotel_177,17
guest_1031,hotel_61,18
guest_1031,hotel_82,19
guest_1031,hotel_138,20
guest_1032,hotel_96,1
guest_1032,hotel_197,2
guest_1032,hotel_311,3
guest_1032,hotel_115,4
guest_1032,hotel_378,5
guest_1032,hotel_27,6
guest_1032,hotel_178,7
guest_1032,hotel_374,8
guest_1032,hotel_237,9
guest_1032,hotel_217,10
guest_1032,hotel_39,11
guest_1032,hotel_192,12
guest_1032,hotel_22,13
guest_1032,hotel_146,14
guest_1032,hotel_158,15
guest_1032,hotel_376,16
guest_1032,hotel_200,17
guest_1032,hotel_313,18
guest_1032,hotel_289,19
guest_1032,hotel_45,20
guest_1032,hotel_222,21
guest_1032,hotel_394,22
guest_1032,hotel_13,23
guest_1032,hotel_353,24
guest_1032,hotel_141,25
guest_1032,hotel_254,26
guest_1032,hotel_210,27
guest_1032,hotel_203,28
guest_1032,hotel_87,29
guest_1032,hotel_400,30
guest_1032,hotel_149,31
guest_1032,hotel_297,32
guest_1033,hotel_363,1
guest_1033,hotel_125,2
guest_1033,hotel_249,3
guest_1033,hotel_169,4
guest_1033,hotel_77,5
guest_1033,hotel_21,6
guest_1033,hotel_105,7
guest_1033,hotel_379,8
guest_1033,hotel_256,9
guest_1033,hotel_34,10
guest_1033,hotel_211,11
guest_1033,hotel_5,12
guest_1033,hotel_123,13
guest_1034,hotel_168,1
guest_1034,hotel_270,2
guest_1034,hotel_227,3
guest_1034,hotel_79,4
guest_1034,hotel_38,5
guest_1034,hotel_100,6
guest_1034,hotel_67,7
guest_1034,hotel_280,8
guest_1034,hotel_203,9
guest_1034,hotel_382,10
guest_1035,hotel_231,1
guest_1035,hotel_20,2
guest_1035,hotel_47,3
guest_1035,hotel_266,4
guest_1035,hotel_315,5
guest_1035,hotel_169,6
guest_1035,hotel_311,7
guest_1035,hotel_199,8
guest_1035,hotel_181,9
guest_1035,hotel_284,10
guest_1035,hotel_120,11
guest_1035,hotel_88,12
guest_1035,hotel_334,13
guest_1035,hotel_71,14
guest_1035,hotel_173,15
guest_1035,hotel_95,16
guest_1035,hotel_64,17
guest_1035,hotel_178,18
guest_1035,hotel_153,19
guest_1035,hotel_159,20
guest_1035,hotel_183,21
guest_1035,hotel_309,22
guest_1035,hotel_162,23
guest_1035,hotel_367,24
guest_1036,hotel_394,1
guest_1036,hotel_374,2
guest_1036,hotel_329,3
guest_1036,hotel_356,4
guest_1036,hotel_359,5
guest_1036,hotel_340,6
guest_1036,hotel_130,7
guest_1036,hotel_320,8
guest_1036,hotel_79,9
guest_1036,hotel_116,10
guest_1036,hotel_328,11
guest_1036,hotel_243,12
guest_1036,hotel_168,13
guest_1036,hotel_190,14
guest_1036,hotel_240,15
guest_1036,hotel_62,16
guest_1036,hotel_5,17
guest_1036,hotel_234,18
guest_1036,hotel_160,19
guest_1036,hotel_93,20
guest_1036,hotel_89,21
guest_1036,hotel_85,22
guest_1036,hotel_73,23
guest_1036,hotel_41,24
guest_1036,hotel_111,25
guest_1036,hotel_366,26
guest_1036,hotel_183,27
guest_1036,hotel_164,28
guest_1036,hotel_87,29
guest_1036,hotel_281,30
guest_1036,hotel_127,31
guest_1036,hotel_47,32
guest_1036,hotel_379,33
guest_1036,hotel_262,34
guest_1036,hotel_239,35
guest_1036,hotel_209,36
guest_1036,hotel_252,37
guest_1036,hotel_133,38
guest_1036,hotel_195,39
guest_1036,hotel_151,40
guest_1037,hotel_244,1
guest_1037,hotel_243,2
guest_1037,hotel_1,3
guest_1037,hotel_181,4
guest_1037,hotel_71,5
guest_1037,hotel_272,6
guest_1037,hotel_266,7
guest_1037,hotel_213,8
guest_1037,hotel_199,9
guest_1037,hotel_110,10
guest_1037,hotel_300,11
guest_1037,hotel_196,12
guest_1037,hotel_16,13
guest_1037,hotel_289,14
guest_1037,hotel_214,15
guest_1037,hotel_165,16
guest_1037,hotel_264,17
guest_1038,hotel_361,1
guest_1038,hotel_51,2
guest_1038,hotel_53,3
guest_1038,hotel_6,4
guest_1038,hotel_273,5
guest_1038,hotel_271,6
guest_1038,hotel_332,7
guest_1038,hotel_114,8
guest_1038,hotel_177,9
guest_1038,hotel_312,10
guest_1038,hotel_288,11
